cancer,year,sex,race,stage,age,summary_interval,starting_count,net_relative,net_rel_cum_cis_lower,net_rel_cum_cis_upper
melanoma of the skin,2000-2017,all sexes,all races,early,all ages,72 mo,46377,97.5,97,97.9
melanoma of the skin,2000-2017,all sexes,all races,early,all ages,84 mo,46377,96.7,96.1,97.2
melanoma of the skin,2000-2017,all sexes,all races,early,all ages,96 mo,46377,95.8,95.1,96.4
melanoma of the skin,2000-2017,all sexes,all races,early,all ages,108 mo,46377,95.3,94.5,96
melanoma of the skin,2000-2017,all sexes,all races,early,all ages,120 mo,46377,94.5,93.5,95.2
melanoma of the skin,2000-2017,all sexes,all races,early,<65,0 mo,26728,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,early,<65,12 mo,26728,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,early,<65,24 mo,26728,100,12.5,100
melanoma of the skin,2000-2017,all sexes,all races,early,<65,36 mo,26728,99.7,99.5,99.9
melanoma of the skin,2000-2017,all sexes,all races,early,<65,48 mo,26728,99.5,99.3,99.7
melanoma of the skin,2000-2017,all sexes,all races,early,<65,60 mo,26728,99.2,98.9,99.4
melanoma of the skin,2000-2017,all sexes,all races,early,<65,72 mo,26728,99,98.6,99.2
melanoma of the skin,2000-2017,all sexes,all races,early,<65,84 mo,26728,98.8,98.5,99.1
melanoma of the skin,2000-2017,all sexes,all races,early,<65,96 mo,26728,98.7,98.3,99
melanoma of the skin,2000-2017,all sexes,all races,early,<65,108 mo,26728,98.6,98.2,99
melanoma of the skin,2000-2017,all sexes,all races,early,<65,120 mo,26728,98.6,98.2,99
melanoma of the skin,2000-2017,all sexes,all races,early,>65,0 mo,19649,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,early,>65,12 mo,19649,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,early,>65,24 mo,19649,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,early,>65,36 mo,19649,98.9,98.1,99.4
melanoma of the skin,2000-2017,all sexes,all races,early,>65,48 mo,19649,98.1,97.2,98.7
melanoma of the skin,2000-2017,all sexes,all races,early,>65,60 mo,19649,96.6,95.5,97.4
melanoma of the skin,2000-2017,all sexes,all races,early,>65,72 mo,19649,95.4,94.2,96.4
melanoma of the skin,2000-2017,all sexes,all races,early,>65,84 mo,19649,93.6,92.2,94.7
melanoma of the skin,2000-2017,all sexes,all races,early,>65,96 mo,19649,91.6,90,93
melanoma of the skin,2000-2017,all sexes,all races,early,>65,108 mo,19649,90.3,88.4,91.8
melanoma of the skin,2000-2017,all sexes,all races,early,>65,120 mo,19649,88.1,85.9,89.9
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,0 mo,5960,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,12 mo,5960,79.3,78.1,80.3
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,24 mo,5960,67.3,66,68.6
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,36 mo,5960,60,58.6,61.4
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,48 mo,5960,55,53.5,56.5
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,60 mo,5960,51.7,50.2,53.3
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,72 mo,5960,49.5,47.8,51.1
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,84 mo,5960,47.8,46,49.5
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,96 mo,5960,46.5,44.6,48.3
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,108 mo,5960,45.5,43.6,47.4
melanoma of the skin,2000-2017,all sexes,all races,late,all ages,120 mo,5960,44.3,42.2,46.4
melanoma of the skin,2000-2017,all sexes,all races,late,<65,0 mo,3300,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,late,<65,12 mo,3300,83,81.6,84.2
melanoma of the skin,2000-2017,all sexes,all races,late,<65,24 mo,3300,73,71.4,74.5
melanoma of the skin,2000-2017,all sexes,all races,late,<65,36 mo,3300,66.6,64.9,68.3
melanoma of the skin,2000-2017,all sexes,all races,late,<65,48 mo,3300,62.1,60.3,63.9
melanoma of the skin,2000-2017,all sexes,all races,late,<65,60 mo,3300,59.6,57.7,61.4
melanoma of the skin,2000-2017,all sexes,all races,late,<65,72 mo,3300,58.1,56.2,59.9
melanoma of the skin,2000-2017,all sexes,all races,late,<65,84 mo,3300,56.6,54.6,58.5
melanoma of the skin,2000-2017,all sexes,all races,late,<65,96 mo,3300,55.5,53.5,57.4
melanoma of the skin,2000-2017,all sexes,all races,late,<65,108 mo,3300,54.4,52.3,56.4
melanoma of the skin,2000-2017,all sexes,all races,late,<65,120 mo,3300,53.5,51.4,55.6
melanoma of the skin,2000-2017,all sexes,all races,late,>65,0 mo,2660,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,late,>65,12 mo,2660,74.7,72.8,76.4
melanoma of the skin,2000-2017,all sexes,all races,late,>65,24 mo,2660,60.2,58.1,62.3
melanoma of the skin,2000-2017,all sexes,all races,late,>65,36 mo,2660,51.8,49.5,54.1
melanoma of the skin,2000-2017,all sexes,all races,late,>65,48 mo,2660,46.1,43.6,48.5
melanoma of the skin,2000-2017,all sexes,all races,late,>65,60 mo,2660,41.9,39.3,44.5
melanoma of the skin,2000-2017,all sexes,all races,late,>65,72 mo,2660,38.6,35.8,41.4
melanoma of the skin,2000-2017,all sexes,all races,late,>65,84 mo,2660,36.6,33.6,39.6
melanoma of the skin,2000-2017,all sexes,all races,late,>65,96 mo,2660,35,31.8,38.1
melanoma of the skin,2000-2017,all sexes,all races,late,>65,108 mo,2660,34.1,30.7,37.5
melanoma of the skin,2000-2017,all sexes,all races,late,>65,120 mo,2660,32.5,28.8,36.3
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,0 mo,3197,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,12 mo,3197,94.6,93.5,95.5
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,24 mo,3197,92.1,90.7,93.2
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,36 mo,3197,89.7,88.1,91.1
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,48 mo,3197,88.3,86.5,89.9
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,60 mo,3197,86.9,84.8,88.7
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,72 mo,3197,86.3,84.2,88.2
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,84 mo,3197,82.8,80.1,85.1
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,96 mo,3197,82,79,84.6
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,108 mo,3197,79,75.7,82
melanoma of the skin,2000-2017,all sexes,all races,unstaged,all ages,120 mo,3197,77.3,73.5,80.7
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,0 mo,1647,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,12 mo,1647,97,96,97.8
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,24 mo,1647,95.8,94.5,96.7
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,36 mo,1647,94.6,93.2,95.8
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,48 mo,1647,93.4,91.9,94.7
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,60 mo,1647,92.7,90.9,94.1
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,72 mo,1647,91.5,89.6,93.1
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,84 mo,1647,90.6,88.6,92.3
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,96 mo,1647,90.5,88.4,92.2
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,108 mo,1647,89.8,87.5,91.7
melanoma of the skin,2000-2017,all sexes,all races,unstaged,<65,120 mo,1647,89.3,86.9,91.3
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,0 mo,1550,100,NA,NA
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,12 mo,1550,92,90.1,93.6
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,24 mo,1550,88.1,85.6,90.3
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,36 mo,1550,84.4,81.4,87
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,48 mo,1550,82.8,79.4,85.7
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,60 mo,1550,80.6,76.7,84
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,72 mo,1550,79.7,75.6,83.1
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,84 mo,1550,74.1,69,78.5
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,96 mo,1550,72.4,66.6,77.3
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,108 mo,1550,66.8,60.3,72.4
melanoma of the skin,2000-2017,all sexes,all races,unstaged,>65,120 mo,1550,63.5,56.1,69.9
melanoma of the skin,2000-2017,male,white,invasive,all ages,0 mo,20778,100,NA,NA
melanoma of the skin,2000-2017,male,white,invasive,all ages,12 mo,20778,95.6,95.2,95.9
melanoma of the skin,2000-2017,male,white,invasive,all ages,24 mo,20778,92.3,91.8,92.8
melanoma of the skin,2000-2017,male,white,invasive,all ages,36 mo,20778,89.6,89,90.2
melanoma of the skin,2000-2017,male,white,invasive,all ages,48 mo,20778,87.8,87.1,88.4
melanoma of the skin,2000-2017,male,white,invasive,all ages,60 mo,20778,86.1,85.3,86.8
melanoma of the skin,2000-2017,male,white,invasive,all ages,72 mo,20778,84.9,84,85.7
melanoma of the skin,2000-2017,male,white,invasive,all ages,84 mo,20778,83.2,82.3,84.2
melanoma of the skin,2000-2017,male,white,invasive,all ages,96 mo,20778,81.8,80.8,82.9
melanoma of the skin,2000-2017,male,white,invasive,all ages,108 mo,20778,80.7,79.4,81.8
melanoma of the skin,2000-2017,male,white,invasive,all ages,120 mo,20778,79,77.6,80.3
melanoma of the skin,2000-2017,male,white,invasive,<65,0 mo,11399,100,NA,NA
melanoma of the skin,2000-2017,male,white,invasive,<65,12 mo,11399,96.3,95.9,96.7
melanoma of the skin,2000-2017,male,white,invasive,<65,24 mo,11399,93.9,93.4,94.4
melanoma of the skin,2000-2017,male,white,invasive,<65,36 mo,11399,92,91.4,92.6
melanoma of the skin,2000-2017,male,white,invasive,<65,48 mo,11399,90.6,89.9,91.2
melanoma of the skin,2000-2017,male,white,invasive,<65,60 mo,11399,89.5,88.8,90.2
melanoma of the skin,2000-2017,male,white,invasive,<65,72 mo,11399,88.6,87.8,89.3
melanoma of the skin,2000-2017,male,white,invasive,<65,84 mo,11399,88,87.1,88.7
melanoma of the skin,2000-2017,male,white,invasive,<65,96 mo,11399,87.5,86.6,88.3
melanoma of the skin,2000-2017,male,white,invasive,<65,108 mo,11399,87,86.1,87.9
melanoma of the skin,2000-2017,male,white,invasive,<65,120 mo,11399,86.7,85.7,87.6
melanoma of the skin,2000-2017,male,white,invasive,>65,0 mo,9379,100,NA,NA
melanoma of the skin,2000-2017,male,white,invasive,>65,12 mo,9379,94.7,94,95.3
melanoma of the skin,2000-2017,male,white,invasive,>65,24 mo,9379,90.3,89.4,91.2
melanoma of the skin,2000-2017,male,white,invasive,>65,36 mo,9379,86.6,85.5,87.7
melanoma of the skin,2000-2017,male,white,invasive,>65,48 mo,9379,84.3,83,85.5
melanoma of the skin,2000-2017,male,white,invasive,>65,60 mo,9379,81.8,80.3,83.2
melanoma of the skin,2000-2017,male,white,invasive,>65,72 mo,9379,80.2,78.5,81.8
melanoma of the skin,2000-2017,male,white,invasive,>65,84 mo,9379,77.2,75.3,79.1
melanoma of the skin,2000-2017,male,white,invasive,>65,96 mo,9379,74.6,72.4,76.7
melanoma of the skin,2000-2017,male,white,invasive,>65,108 mo,9379,72.4,69.9,74.7
melanoma of the skin,2000-2017,male,white,invasive,>65,120 mo,9379,68.9,66,71.5
melanoma of the skin,2000-2017,male,white,early,all ages,0 mo,24880,100,NA,NA
melanoma of the skin,2000-2017,male,white,early,all ages,12 mo,24880,100,NA,NA
melanoma of the skin,2000-2017,male,white,early,all ages,24 mo,24880,100,NA,NA
melanoma of the skin,2000-2017,male,white,early,all ages,36 mo,24880,99.1,98.6,99.5
melanoma of the skin,2000-2017,male,white,early,all ages,48 mo,24880,98.5,97.9,98.9
melanoma of the skin,2000-2017,male,white,early,all ages,60 mo,24880,97.3,96.6,97.9
melanoma of the skin,2000-2017,male,white,early,all ages,72 mo,24880,96.6,95.7,97.2
melanoma of the skin,2000-2017,male,white,early,all ages,84 mo,24880,95.5,94.5,96.3
melanoma of the skin,2000-2017,male,white,early,all ages,96 mo,24880,94.2,93.1,95.1
melanoma of the skin,2000-2017,male,white,early,all ages,108 mo,24880,93.3,92.1,94.4
melanoma of the skin,2000-2017,male,white,early,all ages,120 mo,24880,91.9,90.4,93.1
melanoma of the skin,2000-2017,male,white,early,<65,0 mo,12785,100,NA,NA
melanoma of the skin,2000-2017,male,white,early,<65,12 mo,12785,100,NA,NA
melanoma of the skin,2000-2017,male,white,early,<65,24 mo,12785,100,NA,NA
melanoma of the skin,2000-2017,male,white,early,<65,36 mo,12785,99.6,99.2,99.8
melanoma of the skin,2000-2017,male,white,early,<65,48 mo,12785,99.3,98.8,99.6
melanoma of the skin,2000-2017,male,white,early,<65,60 mo,12785,98.7,98.2,99.1
melanoma of the skin,2000-2017,male,white,early,<65,72 mo,12785,98.2,97.6,98.7
melanoma of the skin,2000-2017,male,white,early,<65,84 mo,12785,98.1,97.4,98.6
melanoma of the skin,2000-2017,male,white,early,<65,96 mo,12785,97.8,97.1,98.3
melanoma of the skin,2000-2017,male,white,early,<65,108 mo,12785,97.8,97.1,98.4
melanoma of the skin,2000-2017,male,white,early,<65,120 mo,12785,97.7,96.9,98.3
melanoma of the skin,2000-2017,male,white,early,>65,0 mo,12095,100,NA,NA
melanoma of the skin,2000-2017,male,white,early,>65,12 mo,12095,100,NA,NA
melanoma of the skin,2000-2017,male,white,early,>65,24 mo,12095,100,NA,NA
melanoma of the skin,2000-2017,male,white,early,>65,36 mo,12095,98.6,97.5,99.2
melanoma of the skin,2000-2017,male,white,early,>65,48 mo,12095,97.6,96.4,98.4
melanoma of the skin,2000-2017,male,white,early,>65,60 mo,12095,95.8,94.4,96.8
melanoma of the skin,2000-2017,male,white,early,>65,72 mo,12095,94.7,93.1,96
melanoma of the skin,2000-2017,male,white,early,>65,84 mo,12095,92.5,90.7,94
melanoma of the skin,2000-2017,male,white,early,>65,96 mo,12095,90,87.8,91.8
melanoma of the skin,2000-2017,male,white,early,>65,108 mo,12095,88.1,85.6,90.2
melanoma of the skin,2000-2017,male,white,early,>65,120 mo,12095,84.9,82.1,87.4
melanoma of the skin,2000-2017,male,white,late,all ages,0 mo,3700,100,NA,NA
melanoma of the skin,2000-2017,male,white,late,all ages,12 mo,3700,77.2,75.8,78.6
melanoma of the skin,2000-2017,male,white,late,all ages,24 mo,3700,64.9,63.2,66.6
melanoma of the skin,2000-2017,male,white,late,all ages,36 mo,3700,57.2,55.4,59
melanoma of the skin,2000-2017,male,white,late,all ages,48 mo,3700,52.3,50.3,54.1
melanoma of the skin,2000-2017,male,white,late,all ages,60 mo,3700,49.2,47.1,51.1
melanoma of the skin,2000-2017,male,white,late,all ages,72 mo,3700,47,44.8,49
melanoma of the skin,2000-2017,male,white,late,all ages,84 mo,3700,45,42.8,47.2
melanoma of the skin,2000-2017,male,white,late,all ages,96 mo,3700,43.6,41.3,45.9
melanoma of the skin,2000-2017,male,white,late,all ages,108 mo,3700,42.8,40.3,45.1
melanoma of the skin,2000-2017,male,white,late,all ages,120 mo,3700,40.7,38,43.4
melanoma of the skin,2000-2017,male,white,late,<65,0 mo,2036,100,NA,NA
melanoma of the skin,2000-2017,male,white,late,<65,12 mo,2036,80.6,78.8,82.3
melanoma of the skin,2000-2017,male,white,late,<65,24 mo,2036,70,67.9,72
melanoma of the skin,2000-2017,male,white,late,<65,36 mo,2036,63,60.7,65.1
melanoma of the skin,2000-2017,male,white,late,<65,48 mo,2036,58,55.7,60.3
melanoma of the skin,2000-2017,male,white,late,<65,60 mo,2036,55.8,53.4,58.2
melanoma of the skin,2000-2017,male,white,late,<65,72 mo,2036,54.4,51.9,56.7
melanoma of the skin,2000-2017,male,white,late,<65,84 mo,2036,53,50.5,55.5
melanoma of the skin,2000-2017,male,white,late,<65,96 mo,2036,51.7,49.1,54.3
melanoma of the skin,2000-2017,male,white,late,<65,108 mo,2036,50.4,47.7,53
melanoma of the skin,2000-2017,male,white,late,<65,120 mo,2036,49.4,46.6,52.1
melanoma of the skin,2000-2017,male,white,late,>65,0 mo,1664,100,NA,NA
melanoma of the skin,2000-2017,male,white,late,>65,12 mo,1664,73.1,70.7,75.4
melanoma of the skin,2000-2017,male,white,late,>65,24 mo,1664,58.7,55.9,61.3
melanoma of the skin,2000-2017,male,white,late,>65,36 mo,1664,50.1,47.1,53
melanoma of the skin,2000-2017,male,white,late,>65,48 mo,1664,45.1,42,48.2
melanoma of the skin,2000-2017,male,white,late,>65,60 mo,1664,40.7,37.4,44
melanoma of the skin,2000-2017,male,white,late,>65,72 mo,1664,37.5,33.9,41.1
melanoma of the skin,2000-2017,male,white,late,>65,84 mo,1664,34.7,30.8,38.5
melanoma of the skin,2000-2017,male,white,late,>65,96 mo,1664,33,29,37
melanoma of the skin,2000-2017,male,white,late,>65,108 mo,1664,32.2,28.2,36.3
melanoma of the skin,2000-2017,male,white,late,>65,120 mo,1664,29.2,24.5,34.1
melanoma of the skin,2000-2017,male,white,unstaged,all ages,0 mo,1780,100,NA,NA
melanoma of the skin,2000-2017,male,white,unstaged,all ages,12 mo,1780,93.6,92,94.9
melanoma of the skin,2000-2017,male,white,unstaged,all ages,24 mo,1780,91.2,89.2,92.8
melanoma of the skin,2000-2017,male,white,unstaged,all ages,36 mo,1780,88.2,85.8,90.2
melanoma of the skin,2000-2017,male,white,unstaged,all ages,48 mo,1780,86.3,83.6,88.6
melanoma of the skin,2000-2017,male,white,unstaged,all ages,60 mo,1780,84.5,81.4,87.1
melanoma of the skin,2000-2017,male,white,unstaged,all ages,72 mo,1780,83.8,80.7,86.5
melanoma of the skin,2000-2017,male,white,unstaged,all ages,84 mo,1780,79.8,75.8,83.2
melanoma of the skin,2000-2017,male,white,unstaged,all ages,96 mo,1780,79.1,75,82.6
melanoma of the skin,2000-2017,male,white,unstaged,all ages,108 mo,1780,75.3,70.4,79.5
melanoma of the skin,2000-2017,male,white,unstaged,all ages,120 mo,1780,72.3,66.7,77.1
melanoma of the skin,2000-2017,male,white,unstaged,<65,0 mo,828,100,NA,NA
melanoma of the skin,2000-2017,male,white,unstaged,<65,12 mo,828,95.7,93.9,97
melanoma of the skin,2000-2017,male,white,unstaged,<65,24 mo,828,94.2,92.1,95.7
melanoma of the skin,2000-2017,male,white,unstaged,<65,36 mo,828,92.6,90.3,94.4
melanoma of the skin,2000-2017,male,white,unstaged,<65,48 mo,828,90.9,88.3,92.9
melanoma of the skin,2000-2017,male,white,unstaged,<65,60 mo,828,89.4,86.6,91.7
melanoma of the skin,2000-2017,male,white,unstaged,<65,72 mo,828,88.6,85.6,91.1
melanoma of the skin,2000-2017,male,white,unstaged,<65,84 mo,828,86.8,83.5,89.5
melanoma of the skin,2000-2017,male,white,unstaged,<65,96 mo,828,86.8,83.5,89.5
melanoma of the skin,2000-2017,male,white,unstaged,<65,108 mo,828,86,82.3,89
melanoma of the skin,2000-2017,male,white,unstaged,<65,120 mo,828,85.2,81.3,88.4
melanoma of the skin,2000-2017,male,white,unstaged,>65,0 mo,952,100,NA,NA
melanoma of the skin,2000-2017,male,white,unstaged,>65,12 mo,952,91.8,89.2,93.9
melanoma of the skin,2000-2017,male,white,unstaged,>65,24 mo,952,88.6,85.2,91.2
melanoma of the skin,2000-2017,male,white,unstaged,>65,36 mo,952,84.3,80.3,87.5
melanoma of the skin,2000-2017,male,white,unstaged,>65,48 mo,952,82.2,77.6,85.9
melanoma of the skin,2000-2017,male,white,unstaged,>65,60 mo,952,80.1,74.8,84.4
melanoma of the skin,2000-2017,male,white,unstaged,>65,72 mo,952,78.8,73.4,83.3
melanoma of the skin,2000-2017,male,white,unstaged,>65,84 mo,952,73.3,66.2,79.1
melanoma of the skin,2000-2017,male,white,unstaged,>65,96 mo,952,71.7,64.4,77.7
melanoma of the skin,2000-2017,male,white,unstaged,>65,108 mo,952,64.9,56.3,72.1
melanoma of the skin,2000-2017,male,white,unstaged,>65,120 mo,952,59.4,49.6,67.9
melanoma of the skin,2000-2017,male,black,invasive,all ages,0 mo,65,100,NA,NA
melanoma of the skin,2000-2017,male,black,invasive,all ages,12 mo,65,79.6,66.6,88
melanoma of the skin,2000-2017,male,black,invasive,all ages,24 mo,65,72.8,58.4,82.9
melanoma of the skin,2000-2017,male,black,invasive,all ages,36 mo,65,68.1,52,79.8
melanoma of the skin,2000-2017,male,black,invasive,all ages,48 mo,65,61.2,43.7,74.6
melanoma of the skin,2000-2017,male,black,invasive,all ages,60 mo,65,57.7,39.6,72.2
melanoma of the skin,2000-2017,male,black,invasive,all ages,72 mo,65,57.7,39.6,72.2
melanoma of the skin,2000-2017,male,black,invasive,all ages,84 mo,65,57.7,39.6,72.2
melanoma of the skin,2000-2017,male,black,invasive,all ages,96 mo,65,50.8,28.1,69.7
melanoma of the skin,2000-2017,male,black,invasive,all ages,108 mo,65,49.8,26.8,69.2
melanoma of the skin,2000-2017,male,black,invasive,all ages,120 mo,65,49.8,26.8,69.2
melanoma of the skin,2000-2017,male,black,invasive,<65,0 mo,39,100,NA,NA
melanoma of the skin,2000-2017,male,black,invasive,<65,12 mo,39,72.4,55.2,83.9
melanoma of the skin,2000-2017,male,black,invasive,<65,24 mo,39,65.3,47.7,78.2
melanoma of the skin,2000-2017,male,black,invasive,<65,36 mo,39,65.3,47.7,78.2
melanoma of the skin,2000-2017,male,black,invasive,<65,48 mo,39,59.8,41.5,74
melanoma of the skin,2000-2017,male,black,invasive,<65,60 mo,39,56.8,37.7,72
melanoma of the skin,2000-2017,male,black,invasive,<65,72 mo,39,56.8,37.7,72
melanoma of the skin,2000-2017,male,black,invasive,<65,84 mo,39,56.8,37.7,72
melanoma of the skin,2000-2017,male,black,invasive,<65,96 mo,39,54.2,34.4,70.4
melanoma of the skin,2000-2017,male,black,invasive,<65,108 mo,39,50.1,29.7,67.5
melanoma of the skin,2000-2017,male,black,invasive,<65,120 mo,39,50.1,29.7,67.5
melanoma of the skin,2000-2017,male,black,invasive,>65,0 mo,26,100,NA,NA
melanoma of the skin,2000-2017,male,black,invasive,>65,12 mo,26,87.7,63.4,96.3
melanoma of the skin,2000-2017,male,black,invasive,>65,24 mo,26,81.9,52.8,93.9
melanoma of the skin,2000-2017,male,black,invasive,>65,36 mo,26,71.6,39,88.8
melanoma of the skin,2000-2017,male,black,invasive,>65,48 mo,26,62.4,28.7,83.7
melanoma of the skin,2000-2017,male,black,invasive,>65,60 mo,26,59.1,24,82.4
melanoma of the skin,2000-2017,male,black,invasive,>65,72 mo,26,59.1,24,82.4
melanoma of the skin,2000-2017,male,black,invasive,>65,84 mo,26,59.1,24,82.4
melanoma of the skin,2000-2017,male,black,invasive,>65,96 mo,26,44.4,7.1,78
melanoma of the skin,2000-2017,male,black,invasive,>65,108 mo,26,44.4,7.1,78
melanoma of the skin,2000-2017,male,black,invasive,>65,120 mo,26,44.4,7.1,78
melanoma of the skin,2000-2017,male,black,early,all ages,0 mo,54,100,NA,NA
melanoma of the skin,2000-2017,male,black,early,all ages,12 mo,54,100,NA,NA
melanoma of the skin,2000-2017,male,black,early,all ages,24 mo,54,100,NA,NA
melanoma of the skin,2000-2017,male,black,early,all ages,36 mo,54,100,NA,NA
melanoma of the skin,2000-2017,male,black,early,all ages,48 mo,54,96.2,25.5,99.9
melanoma of the skin,2000-2017,male,black,early,all ages,60 mo,54,93.4,40.6,99.5
melanoma of the skin,2000-2017,male,black,early,all ages,72 mo,54,90.8,50.1,98.7
melanoma of the skin,2000-2017,male,black,early,all ages,84 mo,54,90.8,50.1,98.7
melanoma of the skin,2000-2017,male,black,early,all ages,96 mo,54,86.2,38.1,97.7
melanoma of the skin,2000-2017,male,black,early,all ages,108 mo,54,85.8,37.1,97.7
melanoma of the skin,2000-2017,male,black,early,all ages,120 mo,54,85.8,37.1,97.7
melanoma of the skin,2000-2017,male,black,early,<65,0 mo,30,100,NA,NA
melanoma of the skin,2000-2017,male,black,early,<65,12 mo,30,97.5,70.5,99.8
melanoma of the skin,2000-2017,male,black,early,<65,24 mo,30,94.9,71.9,99.2
melanoma of the skin,2000-2017,male,black,early,<65,36 mo,30,94.9,71.9,99.2
melanoma of the skin,2000-2017,male,black,early,<65,48 mo,30,88.6,65.9,96.6
melanoma of the skin,2000-2017,male,black,early,<65,60 mo,30,85.7,60.9,95.3
melanoma of the skin,2000-2017,male,black,early,<65,72 mo,30,85.7,60.9,95.3
melanoma of the skin,2000-2017,male,black,early,<65,84 mo,30,85.7,60.9,95.3
melanoma of the skin,2000-2017,male,black,early,<65,96 mo,30,83.3,56.8,94.3
melanoma of the skin,2000-2017,male,black,early,<65,108 mo,30,79.7,53.1,92.2
melanoma of the skin,2000-2017,male,black,early,<65,120 mo,30,76.1,48.4,90.2
melanoma of the skin,2000-2017,male,black,early,>65,0 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,12 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,24 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,36 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,48 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,60 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,72 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,84 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,96 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,108 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,early,>65,120 mo,24,NA,NA,NA
melanoma of the skin,2000-2017,male,black,late,all ages,0 mo,26,100,NA,NA
melanoma of the skin,2000-2017,male,black,late,all ages,12 mo,26,55.3,34.1,72.2
melanoma of the skin,2000-2017,male,black,late,all ages,24 mo,26,40.1,21.1,58.6
melanoma of the skin,2000-2017,male,black,late,all ages,36 mo,26,31.1,13,51.2
melanoma of the skin,2000-2017,male,black,late,all ages,48 mo,26,22.6,6.2,45.2
melanoma of the skin,2000-2017,male,black,late,all ages,60 mo,26,22.6,6.2,45.2
melanoma of the skin,2000-2017,male,black,late,all ages,72 mo,26,22.6,6.2,45.2
melanoma of the skin,2000-2017,male,black,late,all ages,84 mo,26,22.6,6.2,45.2
melanoma of the skin,2000-2017,male,black,late,all ages,96 mo,26,22.6,6.2,45.2
melanoma of the skin,2000-2017,male,black,late,all ages,108 mo,26,22.6,6.2,45.2
melanoma of the skin,2000-2017,male,black,late,all ages,120 mo,26,22.6,6.2,45.2
melanoma of the skin,2000-2017,male,black,late,<65,0 mo,18,NA,NA,NA
melanoma of the skin,2000-2017,male,black,late,<65,12 mo,18,NA,NA,NA
melanoma of the skin,2000-2017,male,black,late,<65,24 mo,18,NA,NA,NA
melanoma of the skin,2000-2017,male,black,late,<65,36 mo,18,NA,NA,NA
melanoma of the skin,2000-2017,male,black,late,<65,48 mo,18,NA,NA,NA
melanoma of the skin,2000-2017,male,black,late,<65,60 mo,18,NA,NA,NA
melanoma of the skin,2000-2017,male,black,late,<65,72 mo,18,NA,NA,NA
